Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,1.7064655178070067,53.3575,0.5305840985720512,1.3532799805045888,62.0,0.6123498163655987
2,1.0375879276275635,69.6325,0.6949284769955928,1.1776335732952046,66.01,0.658751835040581
3,0.8572650942802429,74.2675,0.7417353268126834,1.1242252664201577,68.16,0.6809777499437699
4,0.7385904851913452,77.65,0.7757522397030443,1.041286941166896,71.14,0.7100596657643523
5,0.6691240017414093,79.645,0.7958742836057094,1.1263659224388705,69.41,0.6952159984855456
6,0.6109497643232346,81.27,0.8121311751636111,1.2637525724757248,66.86,0.6704997548241347
7,0.563298073720932,82.35,0.8230859583917001,1.1107481778806942,70.52,0.706700719213571
8,0.5283731476068497,83.4375,0.8339747598563675,1.0403838423407001,72.79,0.7278527764502766
9,0.4932199982404709,84.5575,0.8453154052799363,1.1297258723313641,70.47,0.7059756719375601
10,0.4766358769893646,84.9875,0.8495770754450191,1.1028833992921623,71.22,0.714752982649416
11,0.4378028171300888,86.1425,0.8611856677896994,1.0728918450653173,72.36,0.7263455262179798
12,0.41466930072307584,86.97,0.8695301197987546,1.2337625744236502,70.39,0.7041275204735716
13,0.40810843360424043,87.0225,0.870017537498862,1.1449232515256116,71.75,0.7180683560308871
14,0.3779892847418785,87.95,0.8793357817812698,1.4761315777802924,64.99,0.6513842505698066
15,0.37545607216358184,88.085,0.8807291224989335,1.231912939032172,70.5,0.7078359250127157
16,0.35578092895746233,88.8025,0.8879504598054794,1.2100941352783494,71.25,0.7119361362614579
17,0.35312308439016343,88.8525,0.888319704838059,1.1987532570863226,71.5,0.7144158439492486
18,0.33548938546180723,89.4225,0.8941255460605545,1.1869860344631658,70.56,0.7038526420624955
19,0.3261227762937546,89.6925,0.8967477473120498,1.1741292070431315,71.73,0.7185053038662739
20,0.3234764029979706,89.73,0.8972144161796523,1.2454540904160518,69.88,0.7000697362555935
21,0.31567117001414297,90.125,0.9011295603301929,1.2236629785246151,71.09,0.7122291873969938
22,0.3025212865948677,90.375,0.9036595108965755,1.1382662682396592,72.83,0.7314433278497784
23,0.30342473138570786,90.185,0.9017179581331191,1.1856271400573148,72.29,0.7226985654903015
24,0.2972108646392822,90.5675,0.905655782739334,1.264943844573513,70.78,0.708215506854046
25,0.2814571992635727,90.9575,0.9095304685007148,1.2558022616015878,71.12,0.7143061215839865
26,0.289258431661129,90.82,0.9080922764142872,1.240606206997185,71.27,0.7146982314711213
27,0.2790748751223087,91.2325,0.9122107902788091,1.2042860487464127,71.67,0.7174269862490453
28,0.2722510117352009,91.415,0.914032152432197,1.1900185851534462,71.87,0.7194836680081335
29,0.26296855214834214,91.56,0.9154943137799431,1.1797422599640621,72.24,0.7230348252642387
30,0.25996368190050123,91.7175,0.9171139168428879,1.301008831923175,71.03,0.7123968552650407
31,0.264700321996212,91.605,0.916049776749768,1.31823146077478,70.77,0.7075002537979023
32,0.25618462196588515,91.6925,0.9168466443582508,1.3391985031449871,69.57,0.6995181934451062
33,0.2571167354404926,91.9375,0.9192997663486615,1.3239600893798147,69.72,0.6977391094397494
34,0.25656569430232046,91.95,0.9194637223120432,1.3833103305215289,68.39,0.6838235931155267
35,0.24258246639966966,92.455,0.9244626094903313,1.2635963433867048,71.79,0.7189275651978012
36,0.24056411987543105,92.47,0.9246711041761722,1.3214804556719058,71.01,0.7115260232296682
37,0.25114231828451156,92.18,0.9217418218067698,1.256302988453276,72.04,0.7198743808810245
38,0.24913995028734207,92.0725,0.9206975742203037,1.2089623888586736,72.88,0.7288803951555196
39,0.23914735360741615,92.3525,0.9235078217027148,1.196790651151329,72.55,0.7276241127123774
40,0.23329254292845725,92.6375,0.9263261039244063,1.2340047754299868,72.71,0.7275656711931505
41,0.23207430867552759,92.7075,0.9270718629251062,1.2928811099119246,70.87,0.709645918711488
42,0.2379092211395502,92.485,0.9248131886753528,1.2951430006391684,70.3,0.7018140572563436
43,0.2320466378748417,92.73,0.9272692683548165,1.3006083350272695,70.72,0.7078791716023263
44,0.2430896977365017,92.3275,0.9232326706865177,1.2931199366120016,71.01,0.7102541290980909
45,0.21642969286441802,93.2425,0.9323715817902118,1.339259915291124,69.55,0.6955418737239109
46,0.21943610191941262,93.0575,0.9305287983189879,1.5004572279893669,68.35,0.6843763797160469
47,0.22439417011141777,93.01,0.9300544564506297,1.2992123661527208,70.8,0.7075263115763935
48,0.2131377410709858,93.2925,0.932859842125986,1.239586475548471,71.77,0.7212367729659386
49,0.22347821918427943,92.945,0.9293785686093956,1.3351840893174434,70.61,0.7082588711686029
50,0.22365936128199101,92.9425,0.9293724220025884,1.3816481695812979,69.85,0.7016504759214477
51,0.2130819919705391,93.3675,0.9336019227512165,1.3112254989374974,71.62,0.7193250606620427
52,0.2188202243566513,93.1575,0.9315145498906431,1.4691654914503645,69.33,0.6949842299846175
53,0.22518297818303107,92.97,0.9296778488004354,1.3813349779244442,69.41,0.6948883256459996
54,0.20614997808337213,93.5075,0.9350211164415283,1.3548161581063727,70.71,0.7056082810573382
55,0.2148163722604513,93.1175,0.9310961869564431,1.3582957200943284,70.93,0.7097282339829277
56,0.20346346734464169,93.6825,0.9367714687590203,1.2882885917736466,71.88,0.7200046509642448
57,0.20909954744577408,93.475,0.9346882683684608,1.3524217575219026,70.56,0.7076993648081608
58,0.21444482021033764,93.1475,0.9314497365076251,1.3575045310767593,71.03,0.7116089149247489
59,0.20972416319847106,93.505,0.9350218219609704,1.3434289439468627,71.3,0.7163547320309965
60,0.21794431568980216,93.23,0.9322711304885849,1.3508344653305735,70.36,0.7042115775603885
61,0.20000504819750786,93.63,0.9362646481686099,1.3852882434608071,69.76,0.700673450826623
62,0.19951383162140846,93.7525,0.9374887375231089,1.3709763493507532,71.3,0.7150027092973393
63,0.20065443091988563,93.8825,0.9387305776329871,1.351764021785396,70.65,0.7110112398722122
64,0.2038812677413225,93.6575,0.9365055467706945,1.32695200564755,71.36,0.7155052964184527
65,0.21621516416072845,93.275,0.9326971656111716,1.374219534123779,70.2,0.7028020991511024
66,0.19646054113805295,93.915,0.9391073028024876,1.3710572256404123,69.72,0.698670772781345
67,0.1928892394721508,93.8725,0.9386650235473017,1.4348687559935698,70.5,0.706807067245065
68,0.2036624554812908,93.735,0.9373160914729999,1.3768239055469538,70.75,0.7087629708043964
69,0.20845946464389561,93.46,0.9345391962766572,1.4118362779070617,70.65,0.7057310924789115
70,0.19137328708171844,94.0875,0.9408155116234264,1.3623152360035355,70.94,0.709733831687898
71,0.19961235462129115,93.8325,0.938303657076509,1.3113392557308172,71.26,0.7115072918005413
72,0.20487211991548537,93.62,0.9361348196006882,1.392860102425715,71.11,0.7092469746347176
73,0.19858423825502394,93.835,0.9382923645473684,1.3681411492596767,70.81,0.7091441594935247
74,0.19110481278300284,94.0525,0.9404549691151878,1.3105613228621755,71.0,0.711527330272906
75,0.19574470484554768,93.9625,0.939598282510726,1.3299875259399414,71.48,0.7178097449055223
76,0.20316602259874345,93.74,0.937321091802956,1.332976891736316,71.69,0.7180892666589601
77,0.18340216544270516,94.2425,0.9423690923884012,1.3544700434253474,71.85,0.7195239346370333
78,0.2017673503279686,93.705,0.9370004601345052,1.3971264787540314,69.62,0.6988119975969382
79,0.1922046125024557,94.025,0.9402101821620241,1.4427191615104675,70.44,0.7059369120842932
80,0.18548384827077388,94.2425,0.9423974915677822,1.3659626435322367,71.0,0.7110079207765518
81,0.19433577554225923,93.975,0.939703725052458,1.3304510048240612,72.38,0.7224967741453985
82,0.1943726083368063,94.0775,0.9407145166649745,1.3700799023269847,70.3,0.7051609259709943
83,0.18510504890680313,94.31,0.943047974193918,1.5052500306421024,69.63,0.6999325111451178
84,0.19053065603077413,94.13,0.9412384436012486,1.3430621783444836,70.92,0.7115467464143985
85,0.18679183372855188,94.395,0.9438931946802424,1.4061781372993616,70.05,0.70164310209587
86,0.18768225897550583,94.245,0.9424098017676941,1.3819499106923485,70.51,0.7044572534341595
87,0.1938445128530264,93.9775,0.9397486136087565,1.34405697910649,71.57,0.718086666729166
