Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,2.879757436492559,26.446,0.2589618045006715,2.368876720689664,36.59,0.33879809757865387
2,2.385525140920868,37.58,0.37137688690552945,2.25840739383819,40.75,0.3909900910083742
3,2.1756676590960957,42.834,0.42487228607824834,2.048064441437934,45.84,0.4496450918804062
4,2.0307289368051396,46.668,0.463591014314005,2.137391459410358,45.69,0.450711174428095
5,1.9565184005081195,49.14,0.4886604105540118,2.1521590576050387,46.78,0.460048350923519
6,1.8657513360690583,51.388,0.5114956220888788,2.0140103154880986,49.6,0.4794508167379159
7,1.8310864221714342,52.748,0.5252502562430617,2.107897972605031,49.99,0.48375835098259257
8,1.7445466490962622,54.65,0.5447270074723959,2.0651613565007594,50.5,0.49384337707686654
9,1.7247418445699356,56.19,0.5602759339118788,2.2642825902647274,49.42,0.485822040443921
10,1.6530437692809288,57.958,0.5780271437628662,2.12598483198008,51.81,0.5147146696833601
11,1.630236070631715,58.858,0.5872129941320411,2.323956969437326,50.7,0.5020621674225288
12,1.6091029107418207,59.978,0.5982545006228559,2.2394548973460107,52.15,0.5172648296579063
13,1.5741562849420416,61.034,0.6090525417359679,2.3567862503088204,51.99,0.5165460848632096
14,1.577041663477183,61.814,0.6170040455481677,2.3575992918318245,52.86,0.5303728274536167
15,1.546638137391766,62.86,0.6276515106382135,2.4364155212025733,52.96,0.534739396126604
16,1.5418965298577647,63.516,0.6341734539199154,2.787196347667913,51.13,0.5029515077242022
17,1.5281131231723843,64.242,0.6414516091710756,2.628848166222785,51.88,0.513968204554431
18,0.7873445125415807,76.456,0.763840234131521,2.068450183625434,58.07,0.5839959796450623
19,0.678227535980132,79.414,0.793639565192273,2.338763006933176,56.15,0.5630767569522179
20,0.6730112640372933,79.702,0.7962962261855886,2.4340859917318745,56.76,0.5664960369656352
21,0.6561215992283334,80.476,0.8042340505821066,2.5759678532363504,55.82,0.5586624951846653
22,0.6360860636548313,81.366,0.813159709033574,2.7351674646328967,56.2,0.5625413321584777
23,0.616647962395035,81.776,0.8174010215890753,2.909927993823009,54.97,0.5507776560844252
24,0.5986555744048274,82.7,0.8266296073202275,2.974133413308745,55.93,0.5607426431825215
25,0.590647089702394,83.192,0.8316271453064131,3.2176849720584357,55.02,0.5503844641393205
26,0.5820143454329437,83.67,0.8364314669531787,3.2805549415053834,55.3,0.5582406885729481
27,0.5529758313961346,84.348,0.8433085920420452,3.468149797931598,54.95,0.5502454234647067
28,0.5457535361599587,84.892,0.8487170866845936,3.4311953357830167,55.3,0.5544275021893169
29,0.28168051518366466,91.024,0.9101196087679073,3.321496137388193,56.68,0.5689182852763672
30,0.22422678051087672,92.596,0.9258795126316159,3.44882759546778,56.45,0.5674521611028326
31,0.20353398316770868,93.25,0.9324206250805301,3.735099790961879,55.71,0.5565394851470078
32,0.2106561500000317,93.062,0.9305555649984449,3.858463187126597,56.12,0.5632761785163853
33,0.21548974570101292,93.004,0.9299566460702475,3.9644417838685833,56.03,0.5631753409294855
34,0.2089450497101621,93.294,0.9329181843640235,4.097926416214864,56.11,0.562029031464766
35,0.1899307536418595,93.87,0.9386677937797607,4.140542962748533,55.57,0.5598099957638638
36,0.1865079262510628,94.008,0.9400509020840049,4.269801776120617,56.26,0.5627103410143625
37,0.1888720842246252,94.086,0.9408236406991474,4.301278651140298,56.06,0.5618770703319438
38,0.19045316896703848,94.12,0.941186713902098,4.475809429861178,55.71,0.5579698726385068
39,0.17364220422885532,94.588,0.9458589930627311,4.372932314113447,55.62,0.5589322309338857
40,0.10537896782744562,96.608,0.9660767942897351,4.400379329729992,56.48,0.5644384577572392
41,0.07830717499234506,97.346,0.9734610393496478,4.436376389424512,56.37,0.5662669654428886
42,0.0742512143492732,97.528,0.9752773186205288,4.492715870498851,56.85,0.5698270409069799
43,0.08084897914707251,97.308,0.9730818136900876,4.603500452770549,57.11,0.5728355076281733
44,0.0748747424673601,97.434,0.974332144982318,4.679067300383452,56.23,0.564426050079535
45,0.07850678056410616,97.43,0.9742941718616357,4.710524302379341,56.08,0.5640143850256066
