Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,2.180088240432739,98.8725,0.9887123082012147,2.7544019632278736,70.97,0.7123099132703308
2,2.1895021488189697,98.225,0.9822365808719716,2.767834707430214,70.03,0.7039389082546491
3,2.2974891548156737,93.2525,0.9324428071805109,2.7267584512188177,71.32,0.7141234274933559
4,2.256973766708374,94.7275,0.9472217758549714,2.7038310697883556,72.0,0.7197786886702461
5,2.2438683132171633,94.9175,0.9491269629460767,2.691464855412769,72.54,0.7273026543841634
6,2.237323099899292,94.855,0.9484690406659206,2.7137385842147146,70.94,0.7112188774105769
7,2.23537138671875,94.565,0.945559493940557,2.6696379503626733,73.24,0.7331964335489376
8,2.230939674758911,94.455,0.9444948269534676,2.7191286345196377,71.56,0.7183857536501257
9,2.232224648666382,94.185,0.9417720259479584,2.72070452969545,70.88,0.7094413517428079
10,2.231320839309692,94.005,0.9400183651548722,2.7188720293105786,70.65,0.7076979813156002
11,2.2172879066467286,94.7225,0.9471605286896083,2.7296248757915134,70.19,0.7043143505611407
12,2.2214985149383546,94.11,0.9410465209799307,2.6816657029899065,72.28,0.7216773431141295
13,2.224766851043701,93.82,0.93811358480748,2.702928304672241,71.47,0.7187499680950399
14,2.1293969535827637,97.8475,0.9784567709978687,2.567992386544586,76.15,0.7642583598439944
15,2.096658251953125,98.8825,0.9888114981973625,2.565405110644687,76.78,0.768444475524974
16,2.093129267120361,98.8075,0.9880571395860676,2.5963915988897823,75.52,0.7563936956469013
17,2.0982721324920655,98.68,0.9868054188104273,2.584400669025008,75.79,0.7601220914241885
18,2.102011116409302,98.4425,0.9843890699838884,2.597414865615262,75.91,0.7620561935907912
19,2.1021480003356934,98.33,0.9832866757302909,2.6170264398975736,74.2,0.7451066692665147
20,2.098804761886597,98.465,0.9846364905759857,2.6246893375542513,74.39,0.7472957133119233
21,2.0986168327331542,98.31,0.983067438130378,2.608756212671851,75.45,0.7576954251292334
22,2.0643429550170898,99.355,0.9935488149255041,2.532071224443472,77.52,0.7771430294723882
23,2.050464123916626,99.64,0.9963940283326671,2.5395755205944086,77.61,0.7782919600686924
24,2.0484922107696533,99.6175,0.996166596426497,2.550366492787744,77.29,0.7743766867522696
