Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,0.10861513826637612,96.366,0.9636632343659963,0.5083317138302098,88.08,0.8805672134069938
2,0.11982700267486283,95.9,0.959001038577697,0.5397868639534447,87.49,0.8752169583154127
3,0.11951472922472421,95.838,0.9583892528886031,0.4592817107298572,88.43,0.8838110806749848
4,0.11881325167337017,95.81,0.9581036293924632,0.47701697568794726,87.9,0.8785655761077407
5,0.12159119824797887,95.752,0.9575217926562024,0.4741982638740995,88.12,0.8812752838636714
6,0.11531078264169643,95.92,0.959199997556189,0.4891675121275483,88.01,0.8799939071023842
7,0.11684202455767832,95.91,0.9590964115501077,0.4836939376583145,88.52,0.8848146500353905
8,0.11692509271533173,95.908,0.9590892445339149,0.4561428866188997,88.92,0.8888907409300016
9,0.12059187603390316,95.798,0.957994603546921,0.47872448347176716,88.52,0.8852547814677848
10,0.11756013211427385,95.91,0.959096151018937,0.4886812753738112,88.44,0.8838086177914427
11,0.11925201338318074,95.854,0.9585362879832212,0.46352368472203326,88.3,0.882998894416415
12,0.11245728092377677,96.1,0.9610013000317995,0.46198489165799633,88.5,0.8847834037290948
