Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,1.8799764372198784,30.694,0.3001473948314391,1.4855879294644496,43.92,0.4170892335357336
2,1.279092461480509,53.308,0.5303030072894733,1.0516303937146618,62.8,0.6228805966568465
3,0.8858056861878661,68.88,0.6880450935925321,0.9285543728026615,67.24,0.6737163970091541
4,0.7095189831217231,75.506,0.7545807593178697,0.6816131009417734,76.2,0.7637639498605491
5,0.6074520460022684,78.866,0.7882774687501414,0.6048223353495263,78.82,0.7848422181108405
6,0.5325395469470402,81.764,0.8174423980809032,0.6134094802816962,79.35,0.7933997631395298
7,0.4803773225725764,83.382,0.833644369179018,0.5395210088248465,81.35,0.8168865495234914
8,0.4310549428815122,85.06,0.850386530520975,0.4839832268323109,83.29,0.8344854229269684
9,0.3896804162779885,86.518,0.8650295835406486,0.4831377324784637,83.67,0.8358242821736801
10,0.3509947800403818,87.834,0.8782242875560823,0.448806600965512,84.15,0.8416350134983815
11,0.32232038431879506,88.846,0.8884007469641123,0.4647573626534954,84.6,0.8454325604708621
12,0.29237427738735744,89.842,0.898321361167397,0.47991334357459076,84.24,0.8410289633228937
13,0.2681244615551151,90.624,0.9061726240598438,0.4433686366411531,85.69,0.8572559436727046
14,0.24451420469986052,91.514,0.9150852947080925,0.42075731515125103,86.58,0.8653295978293956
15,0.22486979671089394,92.052,0.9204856464922602,0.40298972620516066,87.2,0.8718275209405245
16,0.20610363770257253,92.804,0.9280172587261094,0.4112214865578208,87.33,0.8723451468534682
17,0.18846862030494244,93.436,0.9343580523594882,0.45832855164245434,86.81,0.8678575743541632
18,0.17635121923940414,93.676,0.9367426073852184,0.3753167137408712,88.78,0.8877000781933375
19,0.1555123877642519,94.538,0.945377371699247,0.4353188573839558,87.32,0.87330202200733
20,0.14813218348661958,94.892,0.9489051478749015,0.4723341324052234,86.44,0.8660285802837072
21,0.13811082441402633,95.148,0.9514753209076015,0.4220305688821586,87.95,0.8801463996282392
22,0.13131751512151088,95.476,0.9547512885371526,0.44130606754760077,87.74,0.877294793460865
23,0.12137514134497403,95.682,0.9568200043479801,0.4498603688493656,87.69,0.8773360090612852
24,0.11292046732257319,96.05,0.9604933620344881,0.42336715352395254,88.49,0.8847470994605426
25,0.10616151695294529,96.276,0.9627601370479856,0.4156427167498382,88.71,0.88749258362905
26,0.10099034780657867,96.492,0.9649138724861179,0.38649443114639087,88.95,0.8896846582623557
27,0.09330243017891293,96.726,0.9672632566162417,0.5157835518193853,87.2,0.8706152122890258
28,0.09265064597761025,96.828,0.9682733708690582,0.4298236309343083,88.58,0.8860108718713166
29,0.08448057116218902,96.988,0.9698812114072362,0.45004691444574646,88.09,0.8805078475724595
30,0.04496633287196469,98.364,0.9836357816057102,0.3806529709013404,90.69,0.9065533209388994
31,0.03525531658677377,98.84,0.9883995954515756,0.41095865064650583,90.51,0.9043918861960628
32,0.03223708506039096,98.918,0.9891809334716355,0.44813332060102823,90.01,0.9004898335528944
33,0.035163215898579375,98.86,0.9886004965969106,0.47346917131714,90.16,0.9019140385290033
34,0.030937464936794785,98.982,0.989819027649315,0.4205164755605588,90.23,0.9021461894608237
35,0.029056045054548892,98.998,0.989980089715853,0.44987542343557263,90.26,0.9018975019262704
