Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,0.09069317738868858,97.54,0.9759198901901436,0.03385811717784537,99.05,0.9904923203694256
2,0.019833439045367815,99.39,0.9938998339769062,0.03183997911297689,98.92,0.9891942135208915
3,0.013425060426462979,99.58,0.9958000558332913,0.02083512478275022,99.46,0.9946014372461119
4,0.010382511358646856,99.69333333333333,0.9969333081074094,0.025808510858569042,99.24,0.9924050568553708
5,0.009722778001545529,99.73166666666667,0.9973167127500396,0.033746096471277943,99.13,0.9913023413058114
6,0.007587800064048177,99.74666666666667,0.9974666129868069,0.027124826699052047,99.26,0.9925964567221855
7,0.0070751948820658135,99.76833333333333,0.9976832722251524,0.02292156533120149,99.34,0.9934024175962499
8,0.006767693904297386,99.80333333333333,0.9980333749049635,0.05076177843419763,98.95,0.989481864231046
9,0.006446233153069792,99.795,0.9979499989496569,0.03113342482887644,99.18,0.9918074816919114
10,0.001439742182327306,99.95333333333333,0.9995333554771486,0.01779106039348364,99.59,0.9958987151925028
11,0.00037993070234335134,99.99166666666666,0.9999166667548498,0.018603950722321887,99.58,0.9957983966631342
12,0.00018941678869368244,99.99833333333333,0.9999833332989523,0.017725489179142198,99.6,0.9959983092751264
13,9.437123866388395e-05,100.0,1.0,0.01782241350429677,99.63,0.9962984334882125
14,7.286031641404753e-05,100.0,1.0,0.017907836633311882,99.62,0.9961983807488892
15,5.245147613964255e-05,100.0,1.0,0.019483722528294906,99.61,0.9960991644699965
16,3.229661409667236e-05,100.0,1.0,0.01928952000141754,99.6,0.995998825003909
17,2.538548797179175e-05,100.0,1.0,0.018889271941879757,99.65,0.996498524317989
