Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,0.2636706746133316,91.974,0.9202929527453052,0.36143758650987773,89.22,0.8925796905716463
2,0.16791601501443348,94.402,0.9440545266141009,0.4019506062102166,89.12,0.891969548218397
3,0.1538608104295438,94.93,0.9493249247343867,0.39677524405300235,89.01,0.8902059462988318
4,0.14398847591332006,95.35,0.9535309949486493,0.39701902728741334,89.23,0.891799183568569
5,0.1345821757874716,95.636,0.9563861689123379,0.4241733019519004,89.54,0.8947207303584679
6,0.12910489043961648,95.792,0.9579453363976276,0.44908978946649347,88.54,0.8862253605697049
7,0.12547130971227574,95.922,0.9592407885291471,0.41278134148781465,89.59,0.8957126539761197
8,0.0758986564092886,97.52,0.9752111026228595,0.4037010122778689,90.74,0.906739054773158
9,0.05799929255529133,98.152,0.9815252762175445,0.3871402214310921,91.36,0.9139997980706505
10,0.05939505796815814,98.074,0.9807408842494753,0.41211253857821417,90.82,0.9092629624261662
11,0.053996364832432975,98.234,0.9823428943970367,0.43448425545861385,90.47,0.9043778098152481
12,0.05118464191114921,98.364,0.983642649542581,0.4283981518997888,91.28,0.9128363572860515
13,0.05206265020497736,98.428,0.9842804530264598,0.44208690902562275,90.85,0.9082388270987731
14,0.03436506618022123,98.944,0.9894408579846117,0.3856214534870948,92.0,0.9198748330339106
15,0.027301620413299928,99.132,0.9913210451603176,0.44387874721436743,91.48,0.9146529024500656
16,0.025228550454210196,99.194,0.9919406382532487,0.4405714064112799,91.52,0.9152063785317647
17,0.02420804640287152,99.228,0.9922807945405727,0.45838094282017394,91.78,0.9178245369968978
18,0.022138771237488582,99.244,0.9924403649070844,0.4561721170395257,91.63,0.9164440648511185
19,0.020345693196031325,99.348,0.9934801191363063,0.45604067544933335,91.91,0.919052723227223
20,0.01711465192757107,99.446,0.9944598866631815,0.4727491783334096,92.02,0.9199246947779138
21,0.015664227356678925,99.482,0.9948196824501001,0.4775307034943134,91.84,0.9183589271371793
22,0.013061046550156764,99.59,0.9959000491716509,0.47034813332590897,91.71,0.916988269137541
23,0.012567735948679278,99.582,0.9958200352632752,0.4893929105560491,92.14,0.9212747647167473
24,0.012516887612766177,99.576,0.9957601405943648,0.5018846232586416,92.55,0.9253281887792458
25,0.012892185741616685,99.588,0.9958801194097745,0.4662839556230251,92.33,0.923257319623543
26,0.009998306616299066,99.678,0.9967800380206079,0.4980078322166328,91.95,0.9193487776644128
27,0.009805435276746701,99.7,0.9970003950391085,0.5251797065138817,92.04,0.9202755839239666
